Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 1,Dothan,Government,2,Below,Above,Below,Below,Same,Above,Same,23394,Average,Average,17041,Average,Average,18281,Average,Average,25812,Average,Higher
Hospital 2,Boaz,Government,1,Below,Below,Below,Same,Above,Above,Below,22579,Average,Average,15819,Worse,Average,15614,Worse,Lower,22747,Average,Average
Hospital 3,Florence,Government,3,Below,Above,Above,Below,Same,Above,Below,24002,Average,Average,16334,Average,Average,17371,Average,Average,24491,Average,Higher
Hospital 4,Opp,Private,1,Same,Same,Below,Below,Below,Above,None,0,Unknown,Unknown,14541,Average,Lower,15226,Worse,Lower,23472,Average,Average
Hospital 5,Luverne,Proprietary,4,Same,None,Above,None,Same,Above,None,0,Unknown,Unknown,13767,Average,Lower,14341,Average,Lower,0,Unknown,Unknown
Hospital 6,Birmingham,Private,2,Same,Below,Below,Below,Below,Below,Same,23940,Average,Average,16132,Average,Average,17848,Average,Average,23792,Average,Higher
Hospital 7,Fort Payne,Proprietary,2,Below,Above,Below,Below,Same,Above,Same,23853,Average,Average,15761,Average,Average,17896,Worse,Average,0,Unknown,Unknown
Hospital 8,Alabaster,Private,2,Same,Below,Above,Below,Same,Same,Below,24008,Average,Average,17937,Average,Higher,18858,Average,Higher,22367,Average,Average
Hospital 9,Birmingham,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 10,Sheffield,Government,3,Same,Above,Below,Same,Same,Above,Below,22948,Average,Average,17311,Average,Average,17516,Average,Average,23130,Average,Higher
Hospital 11,Ozark,Government,3,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,17651,Average,Average,17581,Average,Average,0,Unknown,Unknown
Hospital 12,Centre,Private,4,Same,None,Above,Above,Same,Same,None,0,Unknown,Unknown,17098,Average,Average,13812,Average,Lower,0,Unknown,Unknown
Hospital 13,Montgomery,Government,2,Below,Above,Below,Below,Same,Below,Same,23467,Average,Average,16826,Average,Average,19776,Average,Higher,20867,Average,Lower
Hospital 14,Montgomery,Private,2,Below,Below,Above,Same,Same,Below,Below,25850,Average,Higher,16463,Average,Average,17710,Worse,Average,21867,Average,Average
Hospital 15,Opelika,Government,4,Below,Above,Above,Above,Same,Above,Same,23682,Worse,Average,14465,Average,Lower,16309,Average,Lower,21050,Average,Lower
Hospital 16,Wedowee,Government,3,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,19690,Average,Higher,14957,Average,Average,0,Unknown,Unknown
Hospital 17,Birmingham,Government,2,Above,Below,Below,Above,Same,Below,Below,21355,Average,Lower,15763,Better,Lower,18019,Better,Average,24648,Average,Higher
Hospital 18,Tallassee,Private,3,Same,None,Above,Below,Same,Same,Same,0,Unknown,Unknown,15013,Average,Average,16522,Average,Average,0,Unknown,Unknown
Hospital 19,Cullman,Government,2,Below,Below,Below,Below,Same,Above,Same,23153,Average,Average,16272,Average,Average,17412,Worse,Average,21359,Average,Average
Hospital 20,Andalusia,Proprietary,4,Same,Above,Above,Below,Same,Above,Same,22544,Average,Average,14805,Average,Lower,16213,Average,Lower,21991,Average,Average
Hospital 21,Anniston,Proprietary,3,Same,Above,Below,Below,Same,Same,Same,23828,Average,Average,16970,Average,Average,16430,Average,Average,24326,Average,Higher
Hospital 22,Huntsville,Government,2,Below,Above,Below,Above,Same,Below,Below,22856,Average,Average,16354,Average,Average,16944,Worse,Average,20481,Average,Lower
Hospital 23,Gadsden,Proprietary,2,Same,Below,Below,Below,Below,Same,Below,23546,Average,Average,18316,Average,Higher,18481,Average,Higher,24922,Average,Higher
Hospital 24,Hamilton,Private,5,Same,None,Above,Same,Same,Above,Same,0,Unknown,Unknown,15443,Average,Average,15495,Average,Lower,0,Unknown,Unknown
Hospital 25,Fayette,Unknown,5,Same,None,Above,Above,Same,Same,Same,0,Unknown,Unknown,15135,Average,Average,14739,Average,Lower,0,Unknown,Unknown
Hospital 26,Gadsden,Proprietary,4,Above,Above,Below,Below,Same,Above,Same,24160,Average,Average,16413,Better,Average,19943,Average,Higher,24074,Average,Higher
Hospital 27,Georgiana,Proprietary,3,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,14180,Average,Lower,13727,Average,Lower,0,Unknown,Unknown
Hospital 28,Enterprise,Proprietary,3,Same,Above,Above,Same,Same,Same,Same,0,Unknown,Unknown,15247,Average,Average,16064,Average,Average,22411,Average,Average
Hospital 29,Eutaw,Government,3,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 30,Dadeville,Proprietary,4,None,None,Above,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,14323,Average,Lower,0,Unknown,Unknown
Hospital 31,Dothan,Proprietary,3,Below,Above,Below,Same,Same,Above,Above,21779,Average,Lower,16007,Worse,Average,16796,Average,Average,24056,Average,Higher
Hospital 32,Birmingham,Private,4,Same,Below,Above,Above,Below,Below,Same,24141,Average,Average,17434,Average,Average,17394,Average,Average,22149,Average,Average
Hospital 33,Centreville,Government,-1,None,None,None,None,Below,Above,None,0,Unknown,Unknown,17905,Average,Average,14310,Average,Lower,0,Unknown,Unknown
Hospital 34,Moulton,Government,4,Same,None,Above,None,Same,Above,Same,0,Unknown,Unknown,15996,Average,Average,16653,Average,Average,0,Unknown,Unknown
Hospital 35,Scottsboro,Government,1,Same,Below,Below,Below,Same,Same,Same,0,Unknown,Unknown,14855,Average,Lower,14509,Average,Lower,24701,Average,Higher
Hospital 36,Geneva,Private,3,Same,None,Above,Same,Same,Above,None,0,Unknown,Unknown,14275,Average,Lower,14978,Average,Lower,0,Unknown,Unknown
Hospital 37,Alexander City,Private,3,Same,Same,Above,Above,Same,Above,Same,23992,Average,Average,17752,Average,Average,18443,Average,Average,25474,Average,Higher
Hospital 38,Eufaula,Government,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,14841,Average,Average,12835,Average,Lower,0,Unknown,Unknown
Hospital 39,Ashland,Government,4,Same,None,Same,Above,Same,Same,None,0,Unknown,Unknown,15322,Average,Average,16250,Average,Average,0,Unknown,Unknown
Hospital 40,Anniston,Government,2,Same,Above,Below,Same,Same,Below,Same,23858,Average,Average,15430,Average,Lower,16757,Average,Average,23461,Average,Higher
Hospital 41,Athens,Government,4,Same,Above,Above,Same,Same,Above,Below,0,Unknown,Unknown,14669,Average,Lower,15876,Average,Lower,23318,Average,Higher
Hospital 42,Foley,Proprietary,3,Same,Same,Below,Above,Same,Same,Below,23186,Average,Average,16286,Average,Average,15260,Average,Lower,20144,Average,Lower
Hospital 43,Decatur,Government,3,Same,Above,Above,Same,Below,Below,Below,23363,Average,Average,14948,Average,Lower,16006,Average,Lower,22371,Average,Average
Hospital 44,Winfield,Proprietary,4,Same,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,15243,Average,Average,15457,Average,Lower,0,Unknown,Unknown
Hospital 45,Mobile,Government,3,Same,Above,Below,Same,Same,Below,Below,0,Unknown,Unknown,15601,Average,Average,18856,Average,Average,0,Unknown,Unknown
Hospital 46,Jasper,Private,2,Same,Same,Same,Below,Same,Above,Same,25214,Average,Average,15422,Average,Average,16503,Worse,Average,20826,Average,Lower
Hospital 47,Mobile,Church,2,Below,Below,Same,Same,Above,Same,Below,25291,Worse,Average,15325,Worse,Lower,16398,Average,Lower,21711,Average,Average
Hospital 48,Grove Hill,Government,2,Same,None,Same,Same,Below,Same,Below,0,Unknown,Unknown,15998,Average,Average,16240,Average,Average,0,Unknown,Unknown
Hospital 49,Tuscaloosa,Government,2,Below,Above,Below,Below,Below,Below,Above,23789,Average,Average,17324,Average,Average,17067,Average,Average,24121,Average,Higher
Hospital 50,Greensboro,Government,3,Same,None,Above,None,Below,Same,None,0,Unknown,Unknown,16332,Average,Average,15713,Average,Average,0,Unknown,Unknown
Hospital 51,Wetumpka,Government,4,Same,None,Above,Same,Same,Above,None,0,Unknown,Unknown,14216,Average,Lower,13707,Average,Lower,0,Unknown,Unknown
Hospital 52,Brewton,Government,3,Same,None,Same,Same,Same,Above,Same,23399,Average,Average,15482,Average,Average,16410,Worse,Average,0,Unknown,Unknown
Hospital 53,Fairhope,Private,3,Same,Same,Above,Above,Same,Same,Below,22488,Average,Average,16982,Average,Average,16982,Average,Average,19567,Average,Lower
Hospital 54,Talladega,Private,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,15057,Average,Average,16717,Average,Average,0,Unknown,Unknown
Hospital 55,Camden,Unknown,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15309,Average,Average,0,Unknown,Unknown
Hospital 56,Birmingham,Church,2,Same,Below,Above,Below,Same,Below,Below,24603,Average,Average,16831,Average,Average,18449,Average,Average,24707,Average,Higher
Hospital 57,Birmingham,Proprietary,2,Same,Above,Below,Above,Above,Same,Same,22177,Average,Average,17573,Average,Average,19014,Average,Higher,20816,Average,Lower
Hospital 58,Prattville,Government,3,Above,Same,Below,Same,Same,Below,Same,26147,Average,Average,16251,Better,Average,16593,Average,Average,0,Unknown,Unknown
Hospital 59,Carrollton,Government,3,Same,None,Same,None,Same,Same,Same,0,Unknown,Unknown,15794,Average,Average,13761,Average,Lower,0,Unknown,Unknown
Hospital 60,Union Springs,Proprietary,-1,None,None,None,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 61,Demopolis,Government,3,Same,None,Same,None,Below,Same,Same,0,Unknown,Unknown,16744,Average,Average,17312,Average,Average,0,Unknown,Unknown
Hospital 62,Mobile,Private,1,Same,Below,Below,Above,Same,Below,Below,22788,Average,Average,17664,Average,Higher,18321,Average,Higher,21994,Average,Average
Hospital 63,Bessemer,Government,3,Same,Same,Above,Below,Same,Same,Same,23781,Average,Average,15513,Average,Average,17445,Average,Average,21698,Average,Average
Hospital 64,Selma,Proprietary,2,Same,Above,Same,Below,Same,Same,Above,22320,Average,Average,15207,Average,Lower,17052,Average,Average,0,Unknown,Unknown
Hospital 65,Monroeville,Government,4,Same,None,Above,Above,Same,Same,Same,0,Unknown,Unknown,15627,Average,Average,16555,Average,Average,0,Unknown,Unknown
Hospital 66,Haleyville,Church,5,Above,None,Above,Same,Same,Above,None,0,Unknown,Unknown,15667,Average,Average,13709,Better,Lower,0,Unknown,Unknown
Hospital 67,Troy,Government,2,Same,Same,Same,Same,Same,Same,Same,0,Unknown,Unknown,15017,Average,Average,15713,Worse,Lower,0,Unknown,Unknown
Hospital 68,Jackson,Proprietary,3,Same,None,Same,Same,Same,Above,None,0,Unknown,Unknown,16609,Average,Average,15475,Average,Average,0,Unknown,Unknown
Hospital 69,Bay Minette,Private,2,Same,None,Below,Same,Same,Below,Below,0,Unknown,Unknown,13737,Average,Lower,15115,Average,Lower,0,Unknown,Unknown
Hospital 70,Pell City,Private,5,Same,None,Above,Above,Same,Same,Below,0,Unknown,Unknown,15483,Average,Average,15561,Average,Lower,0,Unknown,Unknown
Hospital 71,Huntsville,Proprietary,2,Same,Below,Below,Below,Same,Below,Same,21174,Average,Lower,15663,Average,Average,15210,Average,Lower,21520,Average,Average
Hospital 72,York,Unknown,-1,None,None,None,None,None,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 73,Birmingham,Proprietary,3,Same,Above,Below,Below,Same,Same,Same,23022,Average,Average,16362,Average,Average,16574,Average,Average,21806,Average,Average
Hospital 74,Mobile,Proprietary,1,Same,Below,Below,Same,Same,Below,Below,22208,Average,Average,17150,Average,Average,17128,Average,Average,23520,Average,Higher
Hospital 75,Jacksonville,Proprietary,3,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,16777,Average,Average,0,Unknown,Unknown
Hospital 76,Evergreen,Proprietary,3,Same,None,Same,Same,Same,Same,Same,0,Unknown,Unknown,13699,Average,Lower,15301,Average,Lower,0,Unknown,Unknown
Hospital 77,Montgomery,Government,4,Same,Above,Same,Above,Same,Below,Same,26578,Average,Average,15956,Average,Average,16268,Better,Lower,0,Unknown,Unknown
Hospital 78,Greenville,Proprietary,2,Same,Below,Below,Same,Same,Same,Same,0,Unknown,Unknown,15118,Average,Average,14794,Average,Lower,21007,Average,Average
Hospital 79,Muscle Shoals,Government,3,Same,Same,Same,Same,Below,Above,Below,0,Unknown,Unknown,16052,Average,Average,16744,Average,Average,26047,Average,Higher
Hospital 80,Russellville,Proprietary,3,Same,Above,Below,Same,Same,Above,Same,0,Unknown,Unknown,14446,Average,Lower,14553,Average,Lower,21921,Average,Average
Hospital 81,Sylacauga,Unknown,2,Same,Same,Above,Below,Same,Same,Above,22743,Average,Average,17008,Average,Average,17177,Worse,Average,25118,Average,Higher
Hospital 82,Phenix City,Government,5,None,Above,Above,Above,Below,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,20821,Average,Higher,20830,Average,Lower
Hospital 83,Atmore,Government,3,Same,None,Same,Same,Same,Above,Below,0,Unknown,Unknown,14937,Average,Lower,16864,Average,Average,0,Unknown,Unknown
Hospital 84,Clanton,Church,-1,None,None,None,Above,Below,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 85,Chatom,Government,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 86,Red Bay,Government,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,19555,Average,Average,0,Unknown,Unknown
Hospital 87,Butler,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 88,Oneonta,Private,4,Same,None,Above,Same,Below,Same,None,0,Unknown,Unknown,17765,Average,Average,17373,Average,Average,0,Unknown,Unknown
Hospital 89,Birmingham,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 90,Mobile,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 91,Anchorage,Church,4,Same,Above,Above,Same,Below,Below,Above,23925,Average,Average,15169,Average,Lower,14136,Average,Lower,19274,Average,Lower
Hospital 92,Palmer,Unknown,3,Same,Same,Above,Same,Same,Same,Same,21695,Average,Average,13788,Average,Lower,13248,Average,Lower,18669,Average,Lower
Hospital 93,Juneau,Government,4,Same,Same,Above,Above,Same,Same,Same,0,Unknown,Unknown,16575,Average,Average,13930,Average,Lower,18253,Average,Lower
Hospital 94,Fairbanks,Private,5,Same,Above,Above,Same,Same,Same,Same,23917,Average,Average,13287,Average,Lower,14328,Average,Lower,17262,Average,Lower
Hospital 95,Anchorage,Proprietary,5,Same,Above,Above,Same,Same,Above,None,23733,Average,Average,15786,Average,Average,16098,Average,Average,17888,Average,Lower
Hospital 96,Bethel,Unknown,3,Same,None,Same,Below,Same,None,None,0,Unknown,Unknown,15154,Average,Average,11547,Average,Lower,0,Unknown,Unknown
Hospital 97,Soldotna,Unknown,3,Same,Below,Above,Same,Same,Below,Same,0,Unknown,Unknown,15519,Average,Average,14719,Average,Lower,19782,Average,Lower
Hospital 98,Anchorage,Government,2,Same,Below,Above,Below,Same,Below,None,22695,Average,Average,15200,Average,Average,14902,Average,Lower,16861,Average,Lower
Hospital 99,Valdez,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 100,Seward,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 101,Sitka,Government,-1,None,None,None,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 102,Petersburg,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 103,Wrangell,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 104,Kodiak,Church,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,19228,Average,Average,0,Unknown,Unknown
Hospital 105,Cordova,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 106,Nome,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,16290,Average,Average,0,Unknown,Unknown
Hospital 107,Dillingham,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 108,Kotzebue,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 109,Ketchikan,Church,4,Same,None,Above,Same,Same,Same,Same,0,Unknown,Unknown,15531,Average,Average,13946,Average,Lower,18654,Average,Lower
Hospital 110,Barrow,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 111,Homer,Private,4,None,None,Same,Above,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,17546,Average,Average,0,Unknown,Unknown
Hospital 112,Sitka,Private,-1,None,None,None,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 113,Phoenix,Unknown,2,Same,Below,Above,Below,Same,Below,Below,24922,Average,Average,19328,Average,Higher,19932,Average,Higher,19703,Average,Lower
Hospital 114,Tucson,Private,3,Same,Above,Above,Below,Same,Below,Above,24370,Average,Average,18440,Average,Higher,19836,Average,Higher,18934,Average,Lower
Hospital 115,Cottonwood,Private,5,Same,Above,Above,Below,Same,Same,Same,22775,Average,Average,18014,Average,Average,18286,Average,Average,19306,Average,Lower
Hospital 116,Tucson,Private,2,Below,Below,Above,Below,Same,Below,Same,23302,Average,Average,16213,Average,Average,17563,Average,Average,24843,Average,Higher
Hospital 117,Tucson,Unknown,2,Below,Below,Above,Below,Same,Below,Above,23107,Average,Average,16690,Average,Average,18117,Average,Average,21117,Average,Lower
Hospital 118,Prescott,Private,3,Below,Above,Above,Same,Same,Same,Below,23918,Average,Average,16156,Average,Average,16965,Average,Average,22294,Average,Average
Hospital 119,Yuma,Private,3,Same,Above,Above,Below,Same,Below,Below,24631,Average,Average,16966,Average,Average,18413,Average,Higher,22354,Average,Average
Hospital 120,Phoenix,Private,2,Same,Below,Above,Below,Same,Same,Same,24620,Average,Average,18890,Average,Higher,19963,Average,Higher,22590,Average,Average
Hospital 121,Casa Grande,Unknown,3,Same,Same,Above,Below,Same,Same,Same,23695,Average,Average,17631,Average,Average,19250,Average,Higher,21849,Average,Average
Hospital 122,Phoenix,Government,3,None,Same,Above,Below,Same,Same,Same,0,Unknown,Unknown,15373,Average,Average,17759,Average,Average,0,Unknown,Unknown
Hospital 123,Flagstaff,Private,5,Same,Same,Above,Same,Same,Below,Above,24350,Average,Average,17208,Average,Average,16771,Better,Average,18887,Average,Lower
Hospital 124,Phoenix,Church,2,Same,Below,Above,Same,Same,Below,Same,27437,Average,Higher,18325,Average,Average,20066,Average,Higher,22659,Average,Average
Hospital 125,Phoenix,Proprietary,3,Same,Above,Above,Below,Same,Below,Same,25769,Average,Average,18472,Average,Average,17993,Average,Average,21976,Average,Average
Hospital 126,Chandler,Unknown,3,Same,Below,Above,Same,Same,Same,Above,24112,Average,Average,18589,Average,Higher,19621,Average,Higher,19765,Average,Lower
Hospital 127,Phoenix,Proprietary,2,Same,Below,Above,Below,Same,Below,None,26607,Average,Average,18657,Average,Average,18691,Average,Average,19064,Average,Lower
Hospital 128,Scottsdale,Proprietary,4,Same,Above,Above,Below,Same,Above,Above,24399,Average,Average,16941,Average,Average,17473,Average,Average,19926,Average,Lower
Hospital 129,Sierra Vista,Unknown,1,Below,Below,Below,Below,Same,Below,Below,21489,Average,Lower,16941,Average,Average,17445,Average,Average,20174,Average,Lower
Hospital 130,Kingman,Government,2,Same,Below,Above,Same,Same,Same,Below,26281,Average,Higher,16773,Average,Average,15940,Average,Lower,21752,Average,Average
Hospital 131,Sun City,Unknown,4,Same,Same,Above,Below,Same,Same,Above,21990,Average,Lower,16604,Average,Average,18168,Average,Higher,18837,Average,Lower
Hospital 132,Show Low,Private,4,Same,Above,Above,Same,Same,Same,Same,24708,Average,Average,15364,Average,Average,16855,Average,Average,21120,Average,Average
Hospital 133,Tucson,Private,2,Same,Below,Below,Below,Same,Below,Above,23106,Average,Average,17069,Average,Average,17265,Average,Average,19496,Average,Lower
Hospital 134,Mesa,Private,2,Same,Below,Below,Below,Same,Below,Above,24071,Average,Average,18314,Average,Higher,19400,Average,Higher,20235,Average,Lower
Hospital 135,Safford,Government,4,None,Same,Above,Above,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,16386,Average,Average,20071,Average,Lower
Hospital 136,Lake Havasu City,Proprietary,3,Same,Above,Above,Below,Same,Same,Below,23317,Average,Average,15333,Average,Lower,16147,Average,Lower,18805,Average,Lower
Hospital 137,Fort Defiance,Government,2,Same,None,Below,Same,Below,None,None,0,Unknown,Unknown,0,Unknown,Unknown,11432,Average,Lower,0,Unknown,Unknown
Hospital 138,Tuba City,Unknown,3,None,Above,Below,Below,Below,None,None,0,Unknown,Unknown,13497,Average,Lower,12476,Average,Lower,18456,Average,Lower
Hospital 139,Sells,Unknown,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 140,Peridot,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 141,Phoenix,Government,-1,None,None,None,Same,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 142,Phoenix,Proprietary,3,Same,Same,Above,Below,Same,Below,None,25192,Average,Average,17707,Average,Average,17675,Average,Average,0,Unknown,Unknown
Hospital 143,Chinle,Government,2,None,None,Below,Below,Below,None,None,0,Unknown,Unknown,0,Unknown,Unknown,11982,Average,Lower,0,Unknown,Unknown
Hospital 144,Tucson,Proprietary,2,Below,Above,Above,Below,Same,Same,Same,23260,Average,Average,17054,Worse,Average,18607,Worse,Higher,19558,Average,Lower
Hospital 145,Scottsdale,Proprietary,4,Above,Above,Below,Below,Same,Above,Above,23301,Average,Average,18707,Average,Higher,17751,Average,Average,21997,Average,Average
Hospital 146,Mesa,Private,4,Same,Below,Above,Below,Same,Same,Above,25224,Average,Average,17736,Average,Higher,17531,Average,Average,21605,Average,Average
Hospital 147,Glendale,Government,2,Same,Below,Above,Below,Same,Below,Above,22732,Average,Average,18262,Average,Higher,19097,Average,Higher,19064,Average,Lower
Hospital 148,Phoenix,Private,3,Same,Below,Above,Below,Same,Same,Same,24315,Average,Average,18623,Average,Higher,19389,Average,Higher,21815,Average,Average
Hospital 149,Sun City West,Private,4,Same,Same,Above,Below,Same,Same,Above,23111,Average,Average,16561,Average,Average,19262,Average,Higher,18592,Average,Lower
Hospital 150,Glendale,Proprietary,3,Same,Above,Below,Below,Same,Same,Same,25293,Average,Average,19001,Average,Higher,17700,Average,Average,21481,Average,Average
Hospital 151,Bullhead City,Proprietary,1,Same,Below,Above,Below,Same,Below,Below,26191,Average,Higher,16458,Average,Average,16277,Average,Average,17588,Average,Lower
Hospital 152,Phoenix,Private,5,Above,Above,Above,Above,Same,Same,Above,20975,Average,Lower,15598,Better,Lower,17148,Better,Average,19770,Average,Lower
Hospital 153,Mesa,Private,4,Above,Below,Above,Above,None,None,None,24141,Average,Average,18729,Average,Higher,18449,Average,Average,0,Unknown,Unknown
Hospital 154,Mesa,Proprietary,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19374,Average,Lower
Hospital 155,Phoenix,Proprietary,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,18058,Average,Lower
Hospital 156,Goodyear,Proprietary,3,Same,Above,Above,Below,Same,Below,Above,24973,Average,Average,17291,Average,Average,18045,Average,Average,0,Unknown,Unknown
Hospital 157,Tucson,Private,2,Same,Same,Same,Below,Same,Below,Same,22734,Average,Average,17866,Average,Average,18266,Average,Average,0,Unknown,Unknown
Hospital 158,Chandler,Proprietary,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,23627,Average,Higher
Hospital 159,Whiteriver,Government,-1,None,None,None,None,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,12756,Average,Lower,0,Unknown,Unknown
Hospital 160,Oro Valley,Proprietary,4,Same,Above,Below,Same,Same,Below,Same,23921,Average,Average,15647,Average,Average,15983,Average,Lower,18414,Average,Lower
Hospital 161,Phoenix,Private,4,Same,Above,Above,Same,Same,Below,Above,22965,Average,Average,14901,Average,Lower,17055,Average,Average,19066,Average,Lower
Hospital 162,Fort Mohave,Proprietary,3,Same,Above,Same,Same,Same,Same,Below,22279,Average,Average,15587,Average,Average,19509,Average,Higher,16785,Average,Lower
Hospital 163,Gilbert,Church,3,Same,Below,Below,Same,Same,Same,Above,23666,Average,Average,19177,Average,Higher,19714,Average,Higher,20106,Average,Lower
Hospital 164,Mesa,Proprietary,2,Same,Below,Same,Below,Same,Below,Same,25230,Average,Average,19306,Average,Higher,21986,Average,Higher,20632,Average,Lower
Hospital 165,Gilbert,Unknown,3,Same,Same,Above,Same,Same,Below,Above,24001,Average,Average,16029,Average,Average,17796,Average,Average,20712,Average,Average
Hospital 166,Scottsdale,Proprietary,5,Same,Above,Above,Above,Same,Above,Above,23570,Average,Average,18980,Average,Higher,17368,Average,Average,19295,Average,Lower
Hospital 167,Queen Creek,Private,4,Same,Same,Above,Above,Same,Same,Same,0,Unknown,Unknown,16042,Average,Average,17906,Average,Average,22450,Average,Average
Hospital 168,Phoenix,Private,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,21573,Average,Lower
Hospital 169,Apache Junction,Unknown,4,Same,None,Above,Same,Same,Same,Same,0,Unknown,Unknown,14816,Average,Average,15948,Average,Average,0,Unknown,Unknown
Hospital 170,Laveen,Proprietary,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 171,Green Valley,Proprietary,3,Same,None,Above,Below,Below,Same,None,0,Unknown,Unknown,15936,Average,Average,15947,Average,Average,0,Unknown,Unknown
Hospital 172,Goodyear,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
