Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 2235,Aurora,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2236,Appleton,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2237,Ortonville,Government,3,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,17688,Average,Average,0,Unknown,Unknown
Hospital 2238,Granite Falls,Government,-1,None,None,None,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,18460,Average,Average,0,Unknown,Unknown
Hospital 2239,Roseau,Private,-1,None,None,None,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,19002,Average,Average,0,Unknown,Unknown
Hospital 2240,Waseca,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2241,Cannon Falls,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2242,Canby,Government,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,19399,Average,Average,0,Unknown,Unknown
Hospital 2243,Tyler,Private,-1,None,None,None,None,None,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2244,Paynesville,Private,4,None,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,16826,Average,Average,0,Unknown,Unknown
Hospital 2245,Moose Lake,Government,-1,None,None,None,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16604,Average,Average,0,Unknown,Unknown
Hospital 2246,Redwood Falls,Government,4,None,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,17317,Average,Average,17943,Average,Average,0,Unknown,Unknown
Hospital 2247,Springfield,Private,-1,None,None,None,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,15959,Average,Average,0,Unknown,Unknown
Hospital 2248,Crosby,Government,4,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,17928,Average,Average,17904,Average,Lower
Hospital 2249,Wadena,Unknown,4,None,None,Same,Above,Same,Above,None,0,Unknown,Unknown,15849,Average,Average,16179,Average,Average,0,Unknown,Unknown
Hospital 2250,Glencoe,Private,4,None,None,Same,Above,Same,Above,None,0,Unknown,Unknown,16735,Average,Average,18232,Average,Average,0,Unknown,Unknown
Hospital 2251,Onamia,Private,3,None,None,Same,Same,Same,Above,None,0,Unknown,Unknown,14530,Average,Average,12173,Average,Lower,0,Unknown,Unknown
Hospital 2252,Fosston,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,17888,Average,Average,0,Unknown,Unknown
Hospital 2253,Cass Lake,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2254,Marshall,Private,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,16896,Average,Average,16542,Average,Average,20908,Average,Average
Hospital 2255,Deer River,Private,4,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16521,Average,Average,0,Unknown,Unknown
Hospital 2256,New Prague,Private,4,None,None,Same,Above,Same,Above,None,0,Unknown,Unknown,17388,Average,Average,16308,Average,Average,0,Unknown,Unknown
Hospital 2257,Monticello,Private,-1,None,None,None,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,12865,Average,Lower,0,Unknown,Unknown
Hospital 2258,Morris,Private,4,None,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,16548,Average,Average,13863,Average,Lower,0,Unknown,Unknown
Hospital 2259,Cloquet,Private,4,Same,None,Same,Above,None,None,None,0,Unknown,Unknown,15455,Average,Average,14883,Average,Lower,23149,Average,Average
Hospital 2260,Benson,Government,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2261,Litchfield,Government,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,15388,Average,Average,0,Unknown,Unknown
Hospital 2262,Mora,Government,4,Same,None,Same,Above,Same,Same,Same,0,Unknown,Unknown,15073,Average,Average,14148,Average,Lower,19902,Average,Average
Hospital 2263,Sauk Centre,Private,-1,None,None,None,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2264,Blue Earth,Government,-1,None,None,None,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16842,Unknown,Unknown,0,Unknown,Unknown
Hospital 2265,Little Falls,Private,3,None,None,Same,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,17701,Average,Average,23273,Average,Average
Hospital 2266,Luverne,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16920,Average,Average,0,Unknown,Unknown
Hospital 2267,Madison,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,19034,Average,Average,0,Unknown,Unknown
Hospital 2268,Perham,Government,4,None,None,Below,Above,Same,Above,Same,0,Unknown,Unknown,16568,Average,Average,15647,Average,Average,0,Unknown,Unknown
Hospital 2269,Pipestone,Government,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,14500,Average,Lower,0,Unknown,Unknown
Hospital 2270,Le Sueur,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2271,Glenwood,Government,4,None,None,Below,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16677,Average,Average,0,Unknown,Unknown
Hospital 2272,Breckenridge,Church,3,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,15749,Average,Average,14472,Average,Lower,0,Unknown,Unknown
Hospital 2273,New Ulm,Private,4,Same,None,Above,Above,Same,Same,Same,0,Unknown,Unknown,15438,Average,Average,15330,Average,Lower,23170,Average,Average
Hospital 2274,Elbow Lake,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2275,Park Rapids,Private,4,None,None,Same,Above,Same,Same,Same,0,Unknown,Unknown,16003,Average,Average,15204,Average,Lower,0,Unknown,Unknown
Hospital 2276,Thief River Falls,Private,3,None,None,Above,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,16252,Average,Average,0,Unknown,Unknown
Hospital 2277,Saint Paul,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2278,Minneapolis,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2279,Minneapolis,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2280,Jackson,Government,1,Below,Below,Below,Below,Below,Below,Below,24379,Average,Average,15080,Worse,Lower,17984,Average,Average,22292,Average,Average
Hospital 2281,Iuka,Private,3,Same,None,Below,None,Same,Above,Same,0,Unknown,Unknown,16841,Average,Average,16810,Average,Average,0,Unknown,Unknown
Hospital 2282,Tupelo,Private,3,Below,Above,Above,Same,Same,Above,Same,25516,Worse,Higher,16855,Worse,Average,18623,Worse,Higher,20612,Average,Lower
Hospital 2283,New Albany,Unknown,5,Same,Same,Above,Above,Above,Above,Same,0,Unknown,Unknown,14471,Average,Lower,15246,Average,Lower,22144,Average,Average
Hospital 2284,Biloxi,Proprietary,2,Same,Same,Below,Below,Same,Same,Below,0,Unknown,Unknown,16371,Better,Average,17775,Average,Average,23059,Average,Average
Hospital 2285,Corinth,Unknown,2,Below,Below,Below,Above,Same,Above,Above,23265,Worse,Average,14241,Average,Lower,16077,Worse,Lower,22788,Average,Average
Hospital 2286,Holly Springs,Unknown,2,Same,None,Below,None,Same,Same,None,0,Unknown,Unknown,14104,Average,Lower,15629,Average,Average,0,Unknown,Unknown
Hospital 2287,Houston,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,18049,Average,Average,0,Unknown,Unknown
